Base Currency,Quote Currency,Exchange Rate
USD,DKK,6.8329
USD,DOP,60.258
USD,DZD,133.0906
USD,EGP,49.1318
USD,ERN,15.0
USD,ETB,120.5673
USD,EUR,0.9163
USD,FJD,2.2424
USD,FKP,0.7684
USD,FOK,6.833
USD,GBP,0.7684
USD,GEL,2.7285
USD,GGP,0.7684
USD,GHS,16.6077
USD,GIP,0.7684
USD,GMD,71.5316
USD,GNF,8678.8409
USD,GTQ,7.7143
USD,GYD,209.1958
USD,HKD,7.7717
USD,HNL,25.2061
USD,HRK,6.9041
USD,HTG,131.6222
USD,HUF,374.8448
USD,IDR,15743.7246
USD,ILS,3.7533
USD,IMP,0.7684
USD,INR,84.1485
USD,IQD,1308.8335
USD,IRR,42047.8102
USD,ISK,136.7056
USD,JEP,0.7684
USD,JMD,158.2245
USD,JOD,0.709
USD,JPY,151.8381
USD,KES,129.0743
USD,KGS,85.3258
USD,KHR,4083.1547
USD,KID,1.5084
USD,KMF,450.803
USD,KRW,1378.3453
USD,KWD,0.3063
USD,KYD,0.8333
USD,KZT,489.0138
USD,LAK,21888.6528
USD,LBP,89500.0
USD,LKR,292.8586
USD,LRD,191.6275
USD,LSL,17.4069
USD,LYD,4.808
USD,MAD,9.8127
USD,MDL,17.8501
USD,MGA,4620.7952
USD,MKD,56.4054
USD,MMK,2097.7409
USD,MNT,3438.4375
USD,MOP,8.005
USD,MRU,39.9171
USD,MUR,45.8825
USD,MVR,15.436
USD,MWK,1742.0027
USD,MXN,20.1381
USD,MYR,4.3476
USD,MZN,63.9223
USD,NAD,17.4069
USD,NGN,1643.3368
USD,NIO,36.7842
USD,NOK,10.9601
USD,NPR,134.6345
USD,NZD,1.6664
USD,OMR,0.3845
USD,PAB,1.0
USD,PEN,3.7724
USD,PGK,3.9671
USD,PHP,58.4218
USD,PKR,277.8091
USD,PLN,3.9929
USD,PYG,7866.2511
USD,QAR,3.64
USD,RON,4.5671
USD,RSD,107.319
USD,RUB,97.7604
USD,RWF,1372.9029
USD,SAR,3.75
USD,SBD,8.3273
USD,SCR,13.6133
USD,SDG,449.5352
USD,SEK,10.7013
USD,SGD,1.316
USD,SHP,0.7684
USD,SLE,22.7509
USD,SLL,22750.8937
USD,SOS,571.3866
USD,SRD,34.7732
USD,SSP,3447.3335
USD,STN,22.45
USD,SYP,12892.8568
USD,SZL,17.4069
USD,THB,33.6092
USD,TJS,10.6622
USD,TMT,3.5001
USD,TND,3.0934
USD,TOP,2.3398
USD,TRY,34.3338
USD,TTD,6.7503
USD,TVD,1.5084
USD,TWD,31.8882
USD,TZS,2675.6314
USD,UAH,41.449
USD,UGX,3661.1515
USD,UYU,41.5968
USD,UZS,12771.8547
USD,VES,43.4576
USD,VND,25336.6324
USD,VUV,119.7893
USD,WST,2.7541
USD,XAF,601.0707
USD,XCD,2.7
USD,XDR,0.7497
USD,XOF,601.0707
USD,XPF,109.3471
USD,YER,250.0361
USD,ZAR,17.403
USD,ZMW,26.9652
USD,ZWL,6.9024
