Company Name,Link to Wikipedia Page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue,Net Income,Number of Employees,Market Cap,CEO,Founder(s),Founded
PulteGroup,https://en.wikipedia.org/wiki/PulteGroup,Homebuilding,"Atlanta, Georgia",1984-04-30,Home construction,13.927,1.93,6182,,,Bill Pulte,1950
Qorvo,https://en.wikipedia.org/wiki/Qorvo,Semiconductors,"Greensboro, North Carolina",2015-06-11,"Wireless handsets, base station, broadband communications, military, foundry",3.77,0.07,8700,,Robert Bruggeworth,,2015
Quanta Services,https://en.wikipedia.org/wiki/Quanta_Services,Construction & Engineering,"Houston, Texas",2009-07-01,,29.94,,40000,,Earl C. Austin Jr.,,1997
Qualcomm,https://en.wikipedia.org/wiki/Qualcomm,Semiconductors,"San Diego, California",1999-07-22,Telecoms equipmentsSemiconductors,38.96,10.14,49000,,Cristiano Amon,"Irwin Jacobs, Andrew Viterbi, Franklin Antonio",1985
Quest Diagnostics,https://en.wikipedia.org/wiki/Quest_Diagnostics,Health Care Services,"Secaucus, New Jersey",2002-12-12,Health care,9.25,0.854,48000,,Jim Davis,Paul Brown,1967
Ralph Lauren Corporation,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,Fashion,6.63,0.646,23400,,Patrice Louvet,Ralph Lauren,1967
Raymond James Financial,https://en.wikipedia.org/wiki/Raymond_James_Financial,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,Investment services,12.99,1.733,18000,,Paul Reilly,Robert James,1962
RTX Corporation,https://en.wikipedia.org/wiki/RTX_Corporation,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,"Aerospace, Defense, Information Security, Electronics",68.92,3.2,185000,,Christopher T. Calio,"Vannevar BushLaurence K. MarshallCharles G. Smith (asAmerican Appliance Company, laterRaytheonin 1922)Frederick Rentschler(asUnited Technologiesin 1934)",2020
Realty Income,https://en.wikipedia.org/wiki/Realty_Income,Retail REITs,"San Diego, California",2015-04-07,Real estate investment trust,4.079,0.8723,418,,,"William E. Clark, Jr.Evelyn J. Clark",1969
Regency Centers,https://en.wikipedia.org/wiki/Regency_Centers,Retail REITs,"Jacksonville, Florida",2017-03-02,Real estate investment trust,1.133,0.239,450,,Martin E.,,1963
Regeneron Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals,Biotechnology,"Tarrytown, New York",2013-05-01,"Pharmaceuticals, Biotech",13.12,3.95,13450,,Leonard Schleifer,"Leonard Schleifer, George Yancopoulos",1988
Regions Financial Corporation,https://en.wikipedia.org/wiki/Regions_Financial_Corporation,Regional Banks,"Birmingham, Alabama",1998-08-28,Financial services,7.531,2.146,20073,,,,1971
Republic Services,https://en.wikipedia.org/wiki/Republic_Services,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,Waste management,0.013,0.001,400005,,,,1998
ResMed,https://en.wikipedia.org/wiki/ResMed,Health Care Equipment,"San Diego, California",2017-07-26,Medical,4.69,1.02,9980,,"Michael ""Mick"" Farrell",Peter C. Farrell,1989
Revvity,https://en.wikipedia.org/wiki/Revvity,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,Biotechnology,2.7,,11000,,Prahlad Singh,,2023
Rockwell Automation,https://en.wikipedia.org/wiki/Rockwell_Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,,9.06,1.39,29000,,Blake Moret,,1903
"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc.",Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,Pest controlConglomerate,2.695,,19031,,,,1948
Roper Technologies,https://en.wikipedia.org/wiki/Roper_Technologies,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,Conglomerate,6.18,1.38,16800,,Neil Hunn,,1890
Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores,Apparel Retail,"Dublin, California",2009-12-21,Retail,14.89,1.02,88100,,Barbara Rentler,Morris RossBill Isackson,1950
Royal Caribbean Group,https://en.wikipedia.org/wiki/Royal_Caribbean_Group,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,"Hospitality, Travel, Tourism",13.9,1.704,107700,,,Arne Wilhelmsen,1997
S&P Global,https://en.wikipedia.org/wiki/S%26P_Global,Financial Exchanges & Data,"New York City, New York",1957-03-04,Financial services,12.5,2.63,40450,,Douglas L. Peterson,"James H. McGraw, John A. Hill",1917
Salesforce,https://en.wikipedia.org/wiki/Salesforce,Application Software,"San Francisco, California",2008-09-15,"Cloud computing, Enterprise software, Consulting",34.86,4.136,72682,,Marc Benioff,"Marc Benioff, Parker Harris, Dave Moellenhoff, Frank Dominguez",1999
SBA Communications,https://en.wikipedia.org/wiki/SBA_Communications,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,Real Estate Investment Trust,,,,,,,
Schlumberger,https://en.wikipedia.org/wiki/Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,Oilfieldservices and equipment,33.14,4.203,111000,,Olivier Le Peuch,Conrad SchlumbergerMarcel Schlumberger,1926
Seagate Technology,https://en.wikipedia.org/wiki/Seagate_Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,Computer storage,6.55,0.335,30000,,Michael R. Cannon,"Alan Shugart, Tom Mitchell, Doug Mahon, Finis Conner, Syed Iftikar",1979
Sempra,https://en.wikipedia.org/wiki/Sempra,Multi-Utilities,"San Diego, California",2017-03-17,Utilities,16.7,3.6,20000,,Jeffrey W. Martin,,1998
ServiceNow,https://en.wikipedia.org/wiki/ServiceNow,Systems Software,"Santa Clara, California",2019-11-21,Enterprise software,8.97,1.73,22668,,Bill McDermott,"Fred Luddy, David Loo, Don Goodliffe, Bow Ruggeri, Patrick Casey",2003
Sherwin-Williams,https://en.wikipedia.org/wiki/Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,Chemicals,23.05,2.39,64088,,Heidi G. Petz,"Henry Sherwin, Edward Williams",1866
Simon Property Group,https://en.wikipedia.org/wiki/Simon_Property_Group,Retail REITs,"Indianapolis, Indiana",2002-06-26,Real estate investment trust,5.66,2.28,3000,,David E. Simon,"Melvin Simon, Herbert Simon",1993
Skyworks Solutions,https://en.wikipedia.org/wiki/Skyworks_Solutions,Semiconductors,"Irvine, California",2015-03-12,Semiconductors,4.77,0.98,9750,,Liam Griffin,,2002
J.M. Smucker Company (The),https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,"Food, Beverage",8.18,0.744,9000,,Mark Smucker,Jerome Monroe Smucker,1897
Smurfit WestRock,https://en.wikipedia.org/wiki/Smurfit_WestRock,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,Packaging,0.011,0.759,100000,,Anthony Smurfit,,1934
Snap-on,https://en.wikipedia.org/wiki/Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,Manufacturing,4.73,1.01,13200,,Nicholas T. Pinchuk,"Joseph Johnson, Bill Seidemann",1920
Solventum,https://en.wikipedia.org/wiki/Solventum,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,Health care,8.2,1.3,22000,,Bryan Hanson,,2023
Southern Company,https://en.wikipedia.org/wiki/Southern_Company,Electric Utilities,"Atlanta, Georgia",1957-03-04,"Energy,Telecom",29.3,3.52,27700,,,,1945
Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines,Passenger Airlines,"Dallas, Texas",1994-07-01,,26.1,0.465,,,Bob Jordan,"Herb Kelleher, Rollin King",1967
Stanley Black & Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,Manufacturing,15.78,0.311,50500,,Don Allan,Frederick Trent Stanley,1843
Starbucks,https://en.wikipedia.org/wiki/Starbucks,Restaurants,"Seattle, Washington",2000-06-07,Coffee shop,35.98,4.125,381000,,Brian Niccol,"Jerry Baldwin, Zev Siegl, Gordon Bowker",1971
State Street Corporation,https://en.wikipedia.org/wiki/State_Street_Corporation,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,"Financial services, Investment management",11.95,1.944,46000,,Ronald P. O’Hanley,,1792
Steel Dynamics,https://en.wikipedia.org/wiki/Steel_Dynamics,Steel,"Fort Wayne, Indiana",2022-12-22,Metals,22.261,3.863,12060,,Mark D. Millett,,1993
Steris,https://en.wikipedia.org/wiki/Steris,Health Care Equipment,"Dublin, Ireland",2019-12-23,Medical devices,5.14,0.378,18179,,Daniel A. Carestio,,1985
Stryker Corporation,https://en.wikipedia.org/wiki/Stryker_Corporation,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,Medical technology,20.5,3.17,52000,,Kevin A. Lobo,Homer Stryker,1941
Supermicro,https://en.wikipedia.org/wiki/Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,Information technology,7.12,0.64,5126,,Charles Liang,"Charles Liang, Sara Liu",1993
Synchrony Financial,https://en.wikipedia.org/wiki/Synchrony_Financial,Consumer Finance,"Stamford, Connecticut",2015-11-18,Financial services,14.8,4.21,16500,,Brian Doubles,,2003
Synopsys,https://en.wikipedia.org/wiki/Synopsys,Application Software,"Sunnyvale, California",2017-03-16,"Integrated circuit, Software as a service, Software Testing, Internet of Things",5.84,1.22,20300,,Sassine Ghazi,"Aart de Geus, David Gregory, Bill Krieger",1986
Sysco,https://en.wikipedia.org/wiki/Sysco,Food Distributors,"Houston, Texas",1986-12-31,Wholesale,78.8,1.96,76000,,Kevin Hourican,"Herbert Irving, John F. Baugh, Harry Rosenthal",1969
T-Mobile US,https://en.wikipedia.org/wiki/T-Mobile_US,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,Telecommunications,78.6,8.3,67000,,Mike Sievert,John W. Stanton,1994
T. Rowe Price,https://en.wikipedia.org/wiki/T._Rowe_Price,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,Investment Management,6.46,1.79,78681,,Rob Sharps,Thomas Rowe Price Jr.,1937
Take-Two Interactive,https://en.wikipedia.org/wiki/Take-Two_Interactive,Interactive Home Entertainment,"New York City, New York",2018-03-19,Video games,5.349,3.74,123711,,,Ryan Brant,1993
